#;N_P;EB_P_OA_100;EB_P_OA_200;EB_P_OA_300;EB_P_OA_400;EB_P100;EB_P200;EB_P300;EB_P400;IB_P_OA100;IB_P_OA200;IB_P_OA300;IB_P_OA400;IB_P100;IB_P200;IB_P300;IB_P400;IB_PL_OA100;IB_PL_OA200;IB_PL_OA300;IB_PL_OA400;IB_PL100;IB_PL200;IB_PL300;IB_PL400;IB_PL_OA_U100;IB_PL_OA_U200;IB_PL_OA_U300;IB_PL_OA_U400;IB_PL_U100;IB_PL_U200;IB_PL_U300;IB_PL_U400
2200;113752208;71835520;71587646;71520765;71475881;72556702;72305506;72238993;72194316;66069452;65820401;65753199;65708101;66787224;66536556;66470180;66425596;52706916;52458833;52391895;52346973;53428076;53176682;53110108;53065392;97331408;97331408;97331408;97331408;97331408;97331408;97331408;97331408
2300;118921288;75099296;74851422;74762007;74717226;75853259;75602063;75512714;75468322;69071134;68822083;68732240;68687245;69821532;69570864;69481700;69437400;55101210;54853127;54763636;54718817;55855150;55603756;55514328;55469896;101754088;101754088;101754088;101754088;101754088;101754088;101754088;101754088
2400;124091008;78363712;78093304;78003992;77959186;79150456;78876424;78787360;78742996;72073456;71801764;71712024;71667004;72856480;72583024;72494144;72449872;57496144;57225508;57136120;57091276;58282864;58008616;57919472;57875068;106177408;106177408;106177408;106177408;106177408;106177408;106177408;106177408
2500;129262584;81629984;81359576;81270264;81225458;82449509;82175477;82086413;82042049;75077634;74805942;74716202;74671182;75893284;75619828;75530948;75486676;59892934;59622298;59532910;59488066;60712434;60438186;60349042;60304638;110602584;110602584;110602584;110602584;110602584;110602584;110602584;110602584
2600;134433456;84895552;84602610;84513298;84468492;85747858;85450990;85361926;85317562;78081108;77786775;77697035;77652015;78929384;78633140;78544260;78499988;62289020;61995831;61906443;61861599;63141300;62844198;62755054;62710650;115027056;115027056;115027056;115027056;115027056;115027056;115027056;115027056
2700;139604136;88160928;87867986;87756243;87711437;89046015;88749147;88637532;88593168;81084390;80790057;80677779;80632759;81965292;81669048;81557664;81513392;64684914;64391725;64279887;64235043;65569974;65272872;65161158;65116754;119451336;119451336;119451336;119451336;119451336;119451336;119451336;119451336
2800;144773856;91425344;91109868;91020659;90953397;92343212;92023508;91934729;91867842;84086712;83769738;83680101;83612518;85000240;84681208;84592612;84525864;67079848;66764106;66674821;66607502;67997688;67677732;67588872;67521926;123874656;123874656;123874656;123874656;123874656;123874656;123874656;123874656
2900;149945240;94691424;94375948;94264205;94219477;95642073;95322369;95210754;95166703;87090698;86773724;86661446;86616504;88036852;87717820;87606436;87562476;69476446;69160704;69048866;69004100;70427066;70107110;69995396;69951304;128299640;128299640;128299640;128299640;128299640;128299640;128299640;128299640
3000;155113552;97954432;97616422;97504782;97459951;98937862;98595322;98483992;98439656;90091612;89751997;89639822;89594777;91070392;90728572;90617472;90573228;71869972;71531677;71419942;71375073;72853372;72510562;72399132;72354756;132721552;132721552;132721552;132721552;132721552;132721552;132721552;132721552
3100;160284360;101219936;100881926;100770286;100703024;102236147;101893607;101782277;101715390;93095022;92755407;92643232;92575649;94106428;93764608;93653508;93586760;74265994;73927699;73815964;73748645;75282174;74939364;74827934;74760988;136947560;136947560;136947560;136947560;136947560;136947560;136947560;136947560
3200;165454656;104484928;104124384;104012744;103945560;105533920;105168544;105057214;104990640;96097920;95735664;95623489;95555984;97141952;96777344;96666244;96599808;76661504;76300656;76188921;76121680;77710464;77344800;77233370;77166736;141569856;141569856;141569856;141569856;141569856;141569856;141569856;141569856
3300;170626616;107751584;107391040;107256969;107212216;108833357;108467981;108334100;108290077;99102482;98740226;98605513;98560546;100179140;99814532;99680928;99636996;79058678;78697830;78563645;78518854;80140418;79774754;79640754;79596690;145995416;145995416;145995416;145995416;145995416;145995416;145995416;145995416
3400;175797168;111016832;110633754;110522217;110454930;112131386;111743174;111632129;111565270;102105636;101720739;101608667;101541059;103214920;102827524;102716708;102649988;81454444;81071043;80959411;80892067;82568964;82180446;82069300;82002382;150419568;150419568;150419568;150419568;150419568;150419568;150419568;150419568
3500;180965608;114279968;113896890;113762819;113695635;115427303;115039091;114905210;114838636;105106678;104721781;104587068;104519563;106248588;105861192;105727588;105661152;83848098;83464697;83330512;83263271;84995398;84606880;84472880;84406246;154841608;154841608;154841608;154841608;154841608;154841608;154841608;154841608
3600;186139488;117548544;117142932;117008964;116941755;118728660;118317612;118184016;118117470;108113160;107705622;107571012;107503482;109287696;108877512;108744192;108677784;86247192;85841238;85707156;85639890;87427272;87015900;86882184;86815578;159269088;159269088;159269088;159269088;159269088;159269088;159269088;159269088
#;N_P;EB_P_OA_100;EB_P_OA_200;EB_P_OA_300;EB_P_OA_400;EB_P100;EB_P200;EB_P300;EB_P400;IB_P_OA100;IB_P_OA200;IB_P_OA300;IB_P_OA400;IB_P100;IB_P200;IB_P300;IB_P400;IB_PL_OA100;IB_PL_OA200;IB_PL_OA300;IB_PL_OA400;IB_PL100;IB_PL200;IB_PL300;IB_PL400;IB_PL_OA_U100;IB_PL_OA_U200;IB_PL_OA_U300;IB_PL_OA_U400;IB_PL_U100;IB_PL_U200;IB_PL_U300;IB_PL_U400
3700;191310424;120814176;120408564;120274596;120207387;122027073;121616025;121482429;121415883;111116698;110709160;110574550;110507020;112323860;111913676;111780356;111713948;88643342;88237388;88103306;88036040;89856202;89444830;89311114;89244508;163693624;163693624;163693624;163693624;163693624;163693624;163693624;163693624
3800;196478160;124076608;123648462;123514494;123447285;125322286;124888402;124754806;124688260;114117036;113686857;113552247;113484717;115356824;114923852;114790532;114724124;91036292;90607785;90473703;90406437;92281932;91847706;91713990;91647384;168114960;168114960;168114960;168114960;168114960;168114960;168114960;168114960
3900;201650760;127343904;126915758;126759359;126692150;128622363;128188479;128032332;127965786;117122238;116692059;116534911;116467381;118394652;117961680;117805856;117739448;93434106;93005599;92849067;92781801;94712526;94278300;94122014;94055408;172541160;172541160;172541160;172541160;172541160;172541160;172541160;172541160
#;N_P;EB_P_OA_100;EB_P_OA_200;EB_P_OA_300;EB_P_OA_400;EB_P100;EB_P200;EB_P300;EB_P400;IB_P_OA100;IB_P_OA200;IB_P_OA300;IB_P_OA400;IB_P100;IB_P200;IB_P300;IB_P400;IB_PL_OA100;IB_PL_OA200;IB_PL_OA300;IB_PL_OA400;IB_PL100;IB_PL200;IB_PL300;IB_PL400;IB_PL_OA_U100;IB_PL_OA_U200;IB_PL_OA_U300;IB_PL_OA_U400;IB_PL_U100;IB_PL_U200;IB_PL_U300;IB_PL_U400
